algo,noise_std,n_outliers,trial,chamfer,hausdorff,accuracy,runtime_s
gair-ransac,0.2,3000,3,0.2751085070236541,0.695115045113583,0.9210243902439025,47.20386362075806
gair-ransac,0.2,3000,4,0.25953400736231674,0.5292200080637549,0.9218211382113821,46.9755597114563
gair-ransac,0.2,4000,0,0.2586036490485294,1.2653805709486394,0.9244596774193549,47.195019483566284
gair-ransac,0.2,4000,1,0.2612622076788054,0.9368946126088679,0.9226774193548387,55.769468545913696
gair-ransac,0.2,4000,2,0.2588704306568118,0.9946299628111668,0.9229677419354839,54.84731960296631
gair-ransac,0.2,4000,3,0.25209311264443146,1.1567714803585087,0.9228548387096774,48.49599742889404
gair-ransac,0.2,4000,4,0.24795544112910822,1.1626366658901262,0.9208064516129032,48.28827619552612
gair-ransac,0.25,0,0,0.2611236393866909,1.6371574301687049,0.923775,57.758217573165894
gair-ransac,0.25,0,1,0.2784138599870032,0.7248923005275154,0.925325,49.05704045295715
gair-ransac,0.25,0,2,0.2738565280102647,0.8175955957204019,0.9243333333333333,54.062920570373535
gair-ransac,0.25,0,3,0.2697636608572383,1.1132938570145228,0.92485,48.85503578186035
gair-ransac,0.25,0,4,0.2680343015527462,0.624903233040065,0.9226083333333334,50.54494380950928
gair-ransac,0.25,1000,0,0.2782222996062317,1.0350327099175665,0.9255867768595041,53.4349308013916
gair-ransac,0.25,1000,1,0.2753041448655813,0.7955433374569812,0.9235371900826447,53.85027241706848
gair-ransac,0.25,1000,2,0.2751547764968948,1.3751642593109503,0.9255785123966942,49.09552597999573
gair-ransac,0.25,1000,3,0.2765855302057756,1.3714033794161207,0.9258181818181819,52.790913820266724
gair-ransac,0.25,1000,4,0.27211218860086583,1.7117182888289422,0.9255785123966942,52.13071632385254
gair-ransac,0.25,2000,0,0.27681351760578654,0.7221126614382332,0.9245655737704918,56.944374561309814
gair-ransac,0.25,2000,1,0.2831065909700447,0.8037658186334448,0.9243524590163934,54.17595934867859
gair-ransac,0.25,2000,2,0.2582331295996648,1.2110208360156824,0.925139344262295,54.3221697807312
gair-ransac,0.25,2000,3,0.27276163392192254,1.0516680018652522,0.925483606557377,51.60076189041138
gair-ransac,0.25,2000,4,0.2727605742153104,0.9179757623562947,0.9225491803278688,55.474040269851685
gair-ransac,0.25,3000,0,0.2573388701797093,1.3298770619006035,0.9287154471544715,55.096163272857666
gair-ransac,0.25,3000,1,0.27554450647738693,0.9316596815277453,0.9263170731707318,53.80268216133118
gair-ransac,0.25,3000,2,0.27151867378518146,1.38425158292241,0.927520325203252,48.14160418510437
gair-ransac,0.25,3000,3,0.2796470269806659,0.743381383939589,0.9249593495934959,48.50156378746033
gair-ransac,0.25,3000,4,0.27309627145888415,1.296487401108149,0.9255284552845529,52.70980429649353
gair-ransac,0.25,4000,0,0.7002641286483431,4.992864577753485,0.8134112903225806,67.66728210449219
gair-ransac,0.25,4000,1,0.2753090616193454,0.9073823646432561,0.9261532258064517,53.943421602249146
gair-ransac,0.25,4000,2,0.2766464984000563,1.263111630845956,0.9265241935483871,49.7314670085907
gair-ransac,0.25,4000,3,0.27517868034991555,1.537310988294151,0.9254193548387096,50.1309232711792
gair-ransac,0.25,4000,4,0.27989822105129825,1.1244336364418286,0.9219354838709677,56.55262351036072
gair-ransac,0.3,0,0,0.283292154996815,0.7264382494314947,0.9256666666666666,47.10448908805847
gair-ransac,0.3,0,1,0.29259194296159236,0.7928115044207629,0.9254833333333333,62.14931297302246
gair-ransac,0.3,0,2,0.30002749117319294,1.760063504931317,0.9281333333333334,54.20690393447876
gair-ransac,0.3,0,3,0.2953164906205775,0.6904448100525034,0.929325,39.308966398239136
gair-ransac,0.3,0,4,0.29445906255890775,1.7250779358413513,0.9279,54.8171272277832
gair-ransac,0.3,1000,0,0.28009747720200995,0.9411961092946889,0.9296528925619835,44.97182583808899
gair-ransac,0.3,1000,1,0.28634493839644315,1.3712144729667657,0.930801652892562,45.368634939193726
gair-ransac,0.3,1000,2,0.2860567831668238,0.6421856433654766,0.9301900826446281,63.49416422843933
gair-ransac,0.3,1000,3,0.2804644132401698,1.72616414485502,0.9302396694214876,52.7041974067688
gair-ransac,0.3,1000,4,0.29497911385158043,1.6958166066263487,0.9288842975206612,55.52179789543152
gair-ransac,0.3,2000,0,0.27507218123581845,2.0258231976294954,0.9309918032786886,47.617573499679565
gair-ransac,0.3,2000,1,0.30205034829079935,1.6035801855194964,0.9285081967213115,39.702908992767334
gair-ransac,0.3,2000,2,0.29154369328713503,1.3656323610907113,0.9283442622950819,51.469502687454224
